id,click,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
11253575322495798327,1,14102720,1005,0,5b08c53b,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,cd474f0e,711ee120,1,0,17653,300,250,1994,2,39,-1,33
10631073566372814597,1,14102916,1005,1,2fdff0f2,2296b5b3,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,348533f2,1f0bc64f,1,0,15701,320,50,1722,0,35,-1,79
6320725367625215918,0,14102908,1005,1,ce3307ec,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,af9205f9,f60c2fd3,1,0,22268,320,50,2566,3,815,100156,42
15330117808681179712,0,14102207,1005,0,85f751fd,c4e18dd6,50e219e0,e9739828,df32afa9,cef3e649,a99f214a,c24aca9b,d787e91b,1,0,21694,320,50,2497,3,43,100151,42
13277590313886620608,0,14102913,1005,1,57ef2c87,bd6d812f,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,829c7311,daa861e9,1,0,19772,320,50,2227,0,935,100075,48
3182688435304738631,0,14102105,1005,0,85f751fd,c4e18dd6,50e219e0,54c5d545,2347f47a,0f2161f8,920dbdd0,87e60a48,be74e6fe,1,0,21652,320,50,2489,1,547,-1,51
3876875580693563182,0,14102302,1005,0,85f751fd,c4e18dd6,50e219e0,a97b17d0,aefc06bd,0f2161f8,a99f214a,cc9477d3,5096d134,1,0,15704,320,50,1722,0,35,-1,79
16436749299567773461,0,14102110,1005,0,5b08c53b,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,355a589e,76dc4769,1,0,17653,300,250,1994,2,39,100084,33
7676967100445357886,0,14102118,1005,0,85f751fd,c4e18dd6,50e219e0,febd1138,82e27996,0f2161f8,a99f214a,a2ac55dc,2ea4f8ba,1,0,21706,320,50,2498,3,169,100111,61
8458484230504610039,1,14102412,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,2b479ec6,d787e91b,1,0,20108,320,50,2299,2,1319,100084,52
2207020223952453483,0,14102723,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,881a9ccc,e1eae715,1,3,21189,320,50,2424,1,161,100193,71
